"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes","comedia","pais","cantidad_actores","cantidad_directores","director","cantidad_generos","cantidad_paises","largo_titulo","largo_descripcion","log_imdb_votes","genero_principal","votos_faltantes"
"tm106462","Happy Gilmore","MOVIE","Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",1996,"PG-13",92,"['comedy', 'sport']","['US']",0,7,217534,1,"US",23,1,"Dennis Dugan",2,1,13,316,12.2901150361049,"comedy",0
"ts5145","The Challenge","SHOW","Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,"TV-14",40,"['reality', 'comedy', 'drama', 'scifi']","['US']",37,7.8,3274,1,"US",1,0,"Sin director",4,1,13,378,8.09407314806935,"reality",0
"tm189764","Menace II Society","MOVIE","Sobering and incisive, this cautionary drama centers on a street tough 18-year-old facing a moral quandary while trying to turn his life around.",1993,"R",97,"['drama', 'crime', 'thriller']","['US']",0,7.5,57399,0,"US",44,2,"Albert Hughes",3,1,17,144,10.9577995823077,"drama",0
"tm9323","Desperado","MOVIE","Mariachi plunges headfirst into the dark border underworld when he follows a trail of blood to the last of the infamous Mexican drug lords, Bucho, for an action-packed, bullet-riddled showdown. With the help of his best friend and a beautiful bookstore owner, the Mariachi tracks Bucho, takes on his army of desperados, and leaves a trail of blood of his own.",1995,"R",104,"['thriller', 'action', 'crime', 'western', 'european']","['US']",0,7.1,183638,0,"US",28,1,"Robert Rodriguez",5,1,9,359,12.1207271529116,"thriller",0
"tm46173","The Mask of Zorro","MOVIE","It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",1998,"PG-13",136,"['action', 'thriller', 'western', 'comedy', 'romance']","['US']",0,6.8,181306,1,"US",37,1,"Martin Campbell",5,1,17,353,12.1079470060362,"action",0
"tm10739","Johnny Mnemonic","MOVIE","In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,"R",97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",0,5.6,71062,0,"US",38,1,"Robert Longo",4,2,15,505,11.1713220865279,"scifi",0
"tm6859","My Girl","MOVIE","Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",1991,"PG",103,"['comedy', 'drama', 'family', 'romance', 'european']","['US']",0,6.9,79800,1,"US",21,1,"Howard Zieff",5,1,7,400,11.2872913146877,"comedy",0
"tm48430","Godzilla","MOVIE","French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",1998,"PG-13",133,"['thriller', 'scifi', 'action']","['US']",0,5.4,191722,0,"US",93,1,"Roland Emmerich",3,1,8,378,12.1638069009709,"thriller",0
"tm184205","Dennis the Menace","MOVIE","Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.",1993,"PG",95,"['comedy', 'family']","['US']",0,5.6,60779,1,"US",31,1,"Nick Castle",2,1,17,233,11.0150160664708,"comedy",0
"tm61103","The General's Daughter","MOVIE","When the body of Army Capt. Elizabeth Campbell is found on a Georgia military base, two investigators, Warrant Officers Paul Brenner and Sara Sunhill, are ordered to solve her murder. What they uncover is anything but clear-cut. Unseemly details emerge about Campbell's life, leading to allegations of a possible military coverup of her death and the involvement of her father, Lt. Gen. Joseph Campbell.",1999,"R",116,"['drama', 'crime', 'thriller']","['US', 'DE']",0,6.4,58726,0,"US",18,1,"Simon West",3,2,22,403,10.9806548659927,"drama",0
"tm17721","Under Suspicion","MOVIE","A lawyer is asked to come to the police station to clear up a few loose ends in his witness report of a foul murder. ""This will only take ten minutes"", they say, but it turns out to be one loose end after another, and the ten minutes he is away from his speech become longer and longer.",2000,"R",110,"['thriller', 'crime', 'drama', 'european']","['US']",0,6.5,25432,0,"US",20,1,"Stephen Hopkins",4,1,15,286,10.1438028223587,"thriller",0
"ts21693","Sister, Sister","SHOW","Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,"TV-PG",22,"['comedy', 'drama', 'family']","['US']",6,6.2,12535,1,"US",5,0,"Sin director",3,1,14,252,9.43635978403586,"comedy",0
"ts22286","Cardcaptor Sakura","SHOW","Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,"TV-Y7",25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']","['JP']",4,8,4936,1,"JP",12,0,"Sin director",8,1,17,306,8.50451313825886,"scifi",0
"tm190811","Geronimo: An American Legend","MOVIE","The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1993,"PG-13",115,"['western', 'drama', 'history']","['US']",0,6.5,11506,0,"US",31,1,"Walter Hill",3,1,28,440,9.35071082482346,"western",0
"tm107659","The Mirror Has Two Faces","MOVIE","Rose Morgan, who still lives with her mother, is a professor of Romantic Literature who desperately longs for passion in her life. Gregory Larkin, a mathematics professor, has been burned by passionate relationships and longs for a sexless union based on friendship and respect.",1996,"PG-13",126,"['romance', 'comedy', 'drama']","['US']",0,6.6,19829,1,"US",43,1,"Barbra Streisand",3,1,24,278,9.89495122151384,"romance",0
"tm188970","Bill Hicks: Revelations","MOVIE","Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",1993,"Sin dato",74,"['comedy', 'documentation']","['GB']",0,8.5,3085,1,"GB",1,1,"Chris Bould",2,1,23,173,8.03463103292311,"comedy",0
"tm41525","Herod's Law","MOVIE","Mexico, 1949. The fable of a janitor turned Mayor on a little town lost in the Mexican desert, who gradually realizes how far his new acquainted power and corruption can get him.",1999,"R",120,"['drama', 'comedy', 'crime']","['MX']",0,7.8,5943,1,"MX",27,1,"Luis Estrada",3,1,11,178,8.6901375863976,"drama",0
"tm204173","Aashik Aawara","MOVIE","Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths.",1993,"Sin dato",153,"['romance', 'comedy', 'drama']","['IN']",0,4.7,320,1,"IN",13,1,"Umesh Mehra",3,1,13,149,5.77144112313002,"romance",0
"tm191614","Destiny","MOVIE","In the 12th century's Andalusia lives Ibn Rushd a prominent islamic philosopher with his wife Zeinab and daughter Sara. The principality is ruled by Khalifa ElMansour who has two sons, ElNasser, an intellectual that likes Ibn Rush and is in love with his daughter Sara. The younger son Abdallah is more into dancing and poetry, spending most of his times with the gypsy family and getting the daughter pregnant. The Khalifa is depending on the extremists to build his army granting them more power which they use to combat artists and philosophers. The extremists succeed in recruiting Abd Allah and train him to kill his father. Events go on where Marawan, the gypsy singer, is killed and Ibn Rushd's books are burnt. Adapted from the real life of Ibn Rushd AlMasir is Chahine's statement against extremism.",1997,"Sin dato",136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",0,7.1,2825,1,"EG",26,1,"Youssef Chahine",4,2,7,808,7.94661756324447,"drama",0
"ts28516","Okupas","SHOW","During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",2000,"TV-MA",40,"['crime', 'drama']","['AR']",1,9,2326,0,"AR",8,1,"Bruno Stagnaro",2,1,6,258,7.75233516330229,"crime",0
"tm110225","English Babu Desi Mem","MOVIE","Vikram Mayur is looking after his late brother's eight-year-old son and is torn between choosing to take Nandu back to England to learn his family's business, or risk throwing it all way.",1996,"PG",172,"['romance', 'comedy', 'drama']","['IN']",0,4.5,2322,1,"IN",10,1,"Praveen Nischol",3,1,21,187,7.75061473277041,"romance",0
"tm104933","Sinbad: Son of a Preacher Man","MOVIE","Experience veteran comedian Sinbad as he returns to his college town of Denver and performs at the Paramount Theatre for this next installment of his famed HBO Comedy Specials. Sinbad: Son of a Preacher Man is a self-styled monologue that comments on the perils of skiing, para-sailing during a bad vacation, fashion trends in lingerie, and more!",1996,"Sin dato",56,"['comedy', 'documentation']","['US']",0,6.7,115,1,"US",1,1,"Chuck Vinson",2,1,29,346,4.75359019110636,"comedy",0
"tm25389","Fiza","MOVIE","In 1993 Fiza's brother disappears during the riots in Mumbai. In 1999 Fiza is tired of waiting and goes looking for him.",2000,"Sin dato",170,"['drama', 'romance', 'action', 'crime']","['IN']",0,6,4168,0,"IN",10,1,"Khalid Mohammed",4,1,4,120,8.3354314778808,"drama",0
"ts21465","Supernatural","SHOW","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.",2005,"TV-14",45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']","['US']",15,8.5,428639,0,"US",4,0,"Sin director",5,1,12,461,12.9683726847784,"scifi",0
"tm102740","The Other Guys","MOVIE","Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",2010,"Sin dato",107,"['crime', 'action', 'comedy']","['US']",0,6.6,263019,1,"US",72,1,"Adam McKay",3,1,14,291,12.479985353896,"crime",0
"tm39030","Casino Royale","MOVIE","Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",2006,"Sin dato",139,"['thriller', 'action', 'european']","['GB', 'US', 'BS', 'CZ', 'DE']",0,8,644336,0,"GB",56,1,"Martin Campbell",3,5,13,440,13.3759771601425,"thriller",0
"tm139658","Big Fish","MOVIE","Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",2003,"PG-13",125,"['drama', 'fantasy', 'romance']","['US']",0,8,435503,0,"US",43,1,"Tim Burton",3,1,8,308,12.9842592600775,"drama",0
"tm79442","The Bourne Ultimatum","MOVIE","Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",2007,"PG-13",115,"['thriller', 'action']","['DE', 'ES', 'US', 'FR']",0,8,627009,0,"DE",45,1,"Paul Greengrass",2,4,20,343,13.3487177684512,"thriller",0
"tm131038","Public Enemies","MOVIE","Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009,"R",143,"['crime', 'drama', 'history', 'action', 'european']","['US']",0,7,297525,0,"US",56,1,"Michael Mann",5,1,14,373,12.6032568951071,"crime",0
"tm90190","True Grit","MOVIE","Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",2010,"PG-13",110,"['western', 'drama']","['US']",0,7.6,333378,0,"US",30,2,"Ethan Coen",2,1,9,220,12.7170352599125,"western",0
"tm145593","Once Upon a Time in Mexico","MOVIE","Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",2003,"R",102,"['drama', 'action', 'crime', 'thriller']","['US']",0,6.3,160449,0,"US",38,1,"Robert Rodriguez",4,1,26,127,11.985737646538,"drama",0
"tm169949","Just Like Heaven","MOVIE","Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",2005,"PG-13",95,"['drama', 'romance', 'fantasy', 'comedy']","['US']",0,6.7,106755,1,"US",43,1,"Mark Waters",4,1,16,323,11.5783011356004,"drama",0
"ts12787","Code Geass: Lelouch of the Rebellion","SHOW","Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...",2006,"TV-14",24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']","['JP']",3,8.7,62367,0,"JP",4,0,"Sin director",6,1,36,309,11.0408076023073,"scifi",0
"tm21467","Final Destination 3","MOVIE","A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate.",2006,"R",93,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']","['CA', 'DE', 'US']",0,5.8,139797,0,"CA",38,1,"James Wong",6,3,19,160,11.8479538025279,"horror",0
"tm46436","Thir13en Ghosts","MOVIE","Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",2001,"R",91,"['thriller', 'horror', 'fantasy']","['CA', 'US']",0,5.6,86492,0,"CA",18,1,"Steve Beck",3,2,15,505,11.3678187647899,"thriller",0
"tm30205","Ip Man","MOVIE","A semi-biographical account of Yip Man, the first martial arts master to teach the Chinese martial art of Wing Chun. The film focuses on events surrounding Ip that took place in the city of Foshan between the 1930s to 1940s during the Second Sino-Japanese War. Directed by Wilson Yip, the film stars Donnie Yen in the lead role, and features fight choreography by Sammo Hung.",2008,"R",108,"['drama', 'fantasy', 'action', 'history']","['HK', 'CN']",0,8,221095,0,"HK",26,1,"Wilson Yip",4,2,6,375,12.3063522753205,"drama",0
"tm79895","Halloween","MOVIE","After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger",2007,"R",109,"['horror']","['US']",0,6,118815,0,"US",45,1,"Rob Zombie",1,1,9,309,11.6853313569768,"horror",0
"tm74780","The Bucket List","MOVIE","Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",2007,"PG-13",97,"['drama', 'comedy', 'european']","['US']",0,7.4,242733,1,"US",23,1,"Rob Reiner",3,1,15,489,12.3997214725498,"drama",0
"tm176528","Memoirs of a Geisha","MOVIE","A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",2005,"PG-13",145,"['drama', 'romance', 'european']","['FR', 'JP', 'US']",0,7.3,146847,0,"FR",131,1,"Rob Marshall",3,3,19,159,11.8971533171946,"drama",0
"tm36188","Body of Lies","MOVIE","The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",2008,"R",128,"['drama', 'action', 'thriller']","['GB', 'US']",0,7.1,224896,0,"GB",21,1,"Ridley Scott",3,2,12,477,12.3233977985965,"drama",0
"tm137362","The Texas Chainsaw Massacre","MOVIE","After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a chainsaw-wielding killer and his family of equally psychopathic killers.",2003,"R",98,"['horror', 'crime']","['US']",0,6.2,140741,0,"US",16,1,"Marcus Nispel",2,1,27,174,11.8546837060207,"horror",0
"tm90864","Due Date","MOVIE","Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010,"R",95,"['drama', 'comedy']","['US']",0,6.5,339626,1,"US",31,1,"Todd Phillips",2,1,8,275,12.7356032355593,"drama",0
"tm89684","New York Minute","MOVIE","Top student Jane Ryan heads to Manhattan for a college-scholarship competition. Her rebellious twin Roxy Ryan goes along to crash a video shoot. But anything can happen - and does - in a romp involving a pursuing truant officer, a smuggler, hunkalicious guys and the girls' realization that when the chips are down, a sister can be the best friend of all.",2004,"PG",87,"['comedy', 'crime', 'family', 'romance']","['US']",0,4.8,23307,1,"US",36,1,"Dennie Gordon",4,1,15,355,10.056551928263,"comedy",0
"tm33113","Eagle Eye","MOVIE","Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",2008,"PG-13",118,"['thriller', 'action', 'european']","['US', 'DE']",0,6.6,185430,0,"US",88,1,"D. J. Caruso",3,2,9,405,12.1304381241775,"thriller",0
"tm147211","The Men Who Stare at Goats","MOVIE","A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",2009,"R",94,"['comedy', 'war']","['GB', 'US']",0,6.2,131564,1,"GB",35,1,"Grant Heslov",2,2,26,216,11.7872563050536,"comedy",0
"ts23808","Monty Python: Almost the Truth (The Lawyer's Cut)","SHOW","The story of Monty Python through brand new interviews with the Pythons: John Cleese, Terry Gilliam, Eric Idle, Terry Jones & Michael Palin and archive material from the late Graham Chapman.",2009,"TV-MA",55,"['comedy', 'documentation']","['US']",1,8.1,1740,1,"US",7,0,"Sin director",2,1,49,190,7.46221493976819,"comedy",0
"tm164557","Initial D","MOVIE","After winning his first competition, Takumi focuses his attention on drift racing, a sport he has unknowingly perfected while delivering tofu in his father's Toyota AE86.",2005,"Sin dato",107,"['drama', 'action', 'crime', 'thriller', 'animation', 'comedy', 'romance']","['HK', 'JP']",0,6.3,8536,1,"HK",11,2,"Alan Mak",7,2,9,170,9.05216493701031,"drama",0
"ts1464","The Cartel","SHOW","The Cartel follows ten friends, all of them members of a dangerous drug cartel, whose ambition for power and money will cause them to eventually kill each other. For it is an undeniable truth that, in this business, you always lose.",2008,"TV-MA",44,"['action', 'crime', 'drama', 'thriller', 'comedy']","['CO']",2,8.1,755,1,"CO",0,0,"Sin director",5,1,10,232,6.62804137617953,"action",0
"ts72322","The Mafia Dolls","SHOW","Las Muñecas De La Mafia is a 2009 Colombian telenovela produced by BE-TV and broadcast by Caracol TV. It's based on Juan Camilo Ferrand and Andres Lopez's book ""Las Fantásticas"". They also wrote the scripts for the television series. The telenovela will debut soon on the Telefutura Network. Series debuted on May 3, 2010 after the Vecinos finale. The show ended July 2010 in the U.S.

It talks about the story of Brenda, Olivia, Violeta, Renata and Pamela. They get into trouble throughout the series because they get involved with some mafia guys from ""El Carmen"" in Colombia.They all have sad endings. Pamela immigrates, at the end of the story, to the United States of America to try to get away from trouble and be close to her father, who was a pilot and end up in jail because he was captured by DEA taking cocaine to U.S in a plain, and ends up as a maid but tells Brenda she is happy and having a great life. Olivia ends up in jail for having a fake wedding with a Braulio Bermudez and getting some of his properties. Violeta dies when the two mafia opposite sides were going to end a war that was going on in between them.Renata also dies because she was force by erick, to pay money she owe him, to carry drugs in her stomach to the United States and no one of her loved ones knew because she had no identification on her. Brenda ends up being pregnant by Braulio, she never saw him again, because he was taken to an US jail. This is a very exiting story to see and it shows how easy life is never a good choice, might be nice and easy at the beginning but some day all ends.",2009,"TV-14",43,"['drama', 'action']","['CO']",2,6.6,284,0,"CO",7,0,"Sin director",2,1,15,1588,5.65248918026865,"drama",0
"ts74928","Einsatzgruppen: The Nazi Death Squads","SHOW","This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.",2009,"TV-14",44,"['documentation', 'history', 'war', 'european']","['FR']",1,7.6,603,0,"FR",0,1,"Michaël Prazan",4,1,37,146,6.40357419793482,"documentation",0
"tm170873","My Suicide","MOVIE","After declaring that he's going to film himself committing suicide for a school project, Archie videotapes his surprising interactions with worried family members, interested classmates, unreliable medical experts and the hottest girl in school.",2009,"R",107,"['comedy', 'drama']","['US']",0,7,1936,1,"US",23,1,"David Lee Miller",2,1,10,245,7.568895663407,"comedy",0
"tm150521","Accident","MOVIE","A self-styled accident choreographer, the Brain is a professional hitman who kills his victims by trapping them in well crafted accidents that look like unfortunate mishaps. When the team's next assignment goes disastrously wrong, Brain begins to suspect that someone else has planned an ‘accident’ on them.",2009,"R",89,"['thriller']","['HK']",0,6.6,3284,0,"HK",11,1,"Soi Cheang",1,1,8,307,8.09712193091871,"thriller",0
