"id","title","type","description","release_year","age_certification","runtime","genres","production_countries","seasons","imdb_score","imdb_votes"
"tm76557","No Longer Kids","MOVIE","By coincidence, Ahmad discovers that his father, Ramada Al Sokkary has a love letter in his suit case, which reveals his love to a woman other than his mother. Ahmad tries with his brothers and sister to find out the reasons that made their father look for another woman. The play shows the amusing acts the children undertake to save their family.",1979,"",235,"['comedy', 'drama']","['EG']",NA,9,943
"tm71909","Amrapali","MOVIE","After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,"",120,"['fantasy']","['IN']",NA,6.7,225
"ts45948","Monty Python's Fliegender Zirkus","SHOW","Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,"TV-MA",43,"['comedy']","[]",1,8.1,2144
"tm75975","Prince","MOVIE","To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.",1969,"",152,"['romance']","['IN']",NA,6.9,168
"tm107372","Manoranjan","MOVIE","Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,"",162,"['comedy', 'drama', 'romance']","['IN']",NA,6.5,236
"tm259855","We Are All for the Fatherland","MOVIE","After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,"",74,"['documentation']","['FR', 'LB', 'CA']",NA,6.2,43
"tm259684","Whispers","MOVIE","At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,"",93,"['documentation']","['FR', 'LB', 'CA']",NA,7.8,75
"tm344089","Lal Patthar","MOVIE","Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. Then one day he sees a young woman named Saudamani, and instantly falls in love with her. He finds out about her background, and virtually buys her, and brings her to his palatial home. This is when he takes to drinking, and wooing her, and renaming her Madhuri, but refrains from marrying her. Years later, he sees another beautiful woman, about half his age, named Sumita, meets with her parents, pays off their debts, and marries her in the bargain.",1971,"",153,"['drama']","['IN']",NA,6.2,137
"tm358653","Ujala","MOVIE","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,"",142,"['romance', 'crime', 'drama']","['IN']",NA,6.7,78
"tm100027","Alibaba Aur 40 Chor","MOVIE","The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,"",138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",NA,6.2,555
"tm119776","Top Gun","MOVIE","A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",1986,"PG",110,"['drama', 'action']","['US']",NA,6.9,329656
"tm111075","Stand by Me","MOVIE","Gordie, Chris, Teddy and Vern are four friends who decide to hike to find the corpse of Ray Brower, a local teenager, who was hit by a train while plucking blueberries in the wild.",1986,"R",89,"['drama']","['US']",NA,8.1,392790
"tm138875","When Harry Met Sally...","MOVIE","During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",1989,"R",96,"['romance', 'comedy', 'drama']","['US']",NA,7.7,212913
"tm155792","Teenage Mutant Ninja Turtles","MOVIE","A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",1990,"PG",93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",NA,6.7,92647
"tm22327","Full Metal Jacket","MOVIE","A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.",1987,"R",116,"['drama', 'war']","['GB', 'US']",NA,8.3,723306
"tm54450","Christine","MOVIE","Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,"R",90,"['horror', 'thriller', 'european']","['US']",NA,6.7,80945
"tm2386","A Nightmare on Elm Street","MOVIE","Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",1984,"R",91,"['horror']","['US']",NA,7.4,230543
"tm145608","Awakenings","MOVIE","Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990,"PG-13",120,"['drama', 'european']","['US']",NA,7.8,137549
"ts21715","Thomas & Friends","SHOW","Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,"TV-Y",10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']","['GB']",24,6.5,4948
"tm41289","Annie","MOVIE","An orphan in a facility run by the mean Miss Hannigan, Annie believes that her parents left her there by mistake. When a rich man named Oliver ""Daddy"" Warbucks decides to let an orphan live at his home to promote his image, Annie is selected. While Annie gets accustomed to living in Warbucks' mansion, she still longs to meet her parents. So Warbucks announces a search for them and a reward, which brings out many frauds.",1982,"PG",127,"['drama', 'family', 'comedy']","['US']",NA,6.6,44866
"ts20678","Saved by the Bell","SHOW","Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,"TV-G",23,"['comedy', 'romance', 'family']","['US']",5,7.1,34854
"tm117580","She's Gotta Have It","MOVIE","The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",1986,"R",84,"['comedy', 'romance']","['US']",NA,6.7,14277
"tm20712","Eddie Murphy Raw","MOVIE","Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.",1987,"R",93,"['comedy', 'documentation']","['US']",NA,7.6,19646
"tm130586","Endless Love","MOVIE","Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.",1981,"R",116,"['drama', 'romance']","['US']",NA,4.9,8374
"ts25028","Wheel of Fortune","SHOW","This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,"TV-G",26,"['family']","['US']",39,6.7,3126
"ts23753","Major Dad","SHOW","Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,"TV-PG",24,"['comedy', 'family']","['US']",4,6.4,2866
"ts2760","Fireman Sam","SHOW","Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,"TV-Y",10,"['comedy', 'animation', 'family', 'crime', 'european']","['GB']",13,6.1,1759
"ts987","Danger Mouse","SHOW","Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,"TV-Y",15,"['comedy', 'family', 'scifi', 'animation', 'european']","['GB']",10,7.4,3514
"tm152839","Tim Allen: Men Are Pigs","MOVIE","Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.",1990,"",30,"['comedy', 'documentation']","['US']",NA,6,353
"tm147829","Unspeakable Acts","MOVIE","Two psychologist try to demonstrate that a man is a pedophile and has abused many children.",1990,"",100,"['drama']","['US']",NA,6,448
"tm159912","Agneepath","MOVIE","The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?",1990,"",174,"['action', 'crime', 'drama']","['IN']",NA,7.6,8902
"tm133914","Parrot Sketch Not Included: Twenty Years of Monty Python","MOVIE","Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.",1989,"",72,"['comedy']","['GB']",NA,8.1,1522
"tm38736","Too Young The Hero","MOVIE","TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.",1988,"",100,"['drama', 'war']","['US']",NA,6.7,494
"tm157853","In Defense of a Married Man","MOVIE","When a defense lawyer's adulterous husband becomes the prime suspect in the murder of the woman he was cheating with, his wife chooses to defend him. Can she overcome his betrayal while searching for the truth?",1990,"",94,"['drama', 'crime']","['US']",NA,5.6,200
"tm45720","Bye Bye London","MOVIE","A comedy about an old married man that travels to London with his nephew who does his to save him from exposure to fraud, and being mugged in London, the play also covers some political aspects and projections in addition to social criticism of some of the Arab situations.",1982,"",170,"['comedy', 'drama']","['KW']",NA,8.7,154
"tm55091","Quiet Victory: The Charlie Wedemeyer Story","MOVIE","Film that tells the story of Los Gatos (California) high school football coach Charlie Wedemeyer. At 31, onetime football pro Wedemeyer is living the American dream; a winning team, a happy marriage and public adulation.",1988,"",100,"['drama']","['US']",NA,7.1,144
"tm51083","A Stoning in Fulham County","MOVIE","Religious beliefs clash with the law when an Amish infant is killed in a rural community.",1988,"",120,"['crime', 'drama', 'thriller']","['US']",NA,5.8,380
"tm311264","Muqaddar Ka Faisla","MOVIE","Muqaddar ka Faisla, is the story of Pandit Krishna Kant. A poor, but extremely honest, upright, God-fearing man, who refuses to compromise on his principles.",1987,"",172,"['comedy', 'drama', 'family', 'action']","['IN']",NA,4.8,68
"tm172482","Sohni Mahiwal","MOVIE","Shahjada Ijjat Beg comes to India with his caravan and settles in a town in Gujrat. Here he falls in love with Sohani, who keeps a shop in metal pots. Ijjat Beg buys pot from her with whatever money he had and they were attracted to each other. Sohni dispensed with her servant and kept Ijjat Beg instead. This gave them more opportunity to meet. This was a scandal in the town and Sohni was perforce married to Rehaman who was slightly off his head. Sohni continued her meeting Ijjat Beg who went out fishing. When the atmosphere became to hot for them they jointly took a water grave for their love.",1984,"",160,"['romance', 'action', 'drama']","['IN']",NA,6.1,297
"tm52274","The Little Wars","MOVIE","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",1982,"",108,"['drama', 'war', 'european']","['FR', 'LB']",NA,6.3,149
"tm342996","Duniya","MOVIE","Mohan Kumar's diligence and honesty lands him in trouble with Balwant Singh Kalra, Jugal Kishore Ahuja, and Mr. Bhandari. Together the trio frame and imprison Mohan and make him watch helplessly as his wife is killed. Years later, Mohan Kumar is released from prison, his only goal in life is to avenge his humiliation and wrongful arrest at the hands of the trio. With the help of Dinesh Verma, he establishes himself again, and starts the process of bringing death and destruction to the trio. The trio are well aware of his presence, and decide to send one of their men, Ravi, to spy on him. Ravi falls in love with Verma's daughter, Roma, and decides to change sides to help Verma and Mohan, but Mohan will not have anything to do with Ravi, and asks him to leave. Ravi then becomes a target by the trio and their men, and has to save himself, and the only way he can redeem himself is by turning the tables over Mohan, who is none other than his own father.Duniya",1984,"",170,"['drama', 'action']","['IN']",NA,6.2,241
"ts63001","High Risk","SHOW","High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,"TV-PG",50,"['comedy']","['US']",1,3.8,6
"tm411457","Pyar Ke Do Pal","MOVIE","In order to assist her close friend, Rajni Thakur, Geeta Choudhary, has an abortion in her name, so that Rajni can get married. When her secret gets leaked out, Geeta's husband, Ashok, blames her, accuses her of being unfaithful, and drives her out of his house. They have twins, Sunil and Anil, and each parent is allowed custody of one child. The children meet each other at Scout camp, and decide to re-unite their parents, without realizing that they are exposing not only them, but also each other, to danger and death.",1986,"",153,"['drama', 'action']","['IN']",NA,6.1,65
"tm446654","Mujrim","MOVIE","The film follows the story of Shankar, who is regarded as a criminal by the society after being in jail for ten years since childhood.",1989,"",162,"['drama', 'action', 'crime']","['IN']",NA,5.4,188
"tm47673","An Egyptian Story","MOVIE","Acclaimed actor Nour El Cherif here plays Egyptian filmmaker Yehia Mourad some thirty years after we last see him in ""Alexandria, Why?""  Though successful in his work, Yehia has grown distant from his wife and children and suﬀers a symbolic blockage of the heart while shooting the final scenes of his latest film. After being flown to England for evaluation, it's determined that Yehia must undergo emergency surgery.  Fact and fiction blend seamlessly—with healthy doses of cleverly  absurdist fantasy—as the film explores the various personalities and forces that have made Yehia (and Youssef Chahine) the man he has become.",1982,"",129,"['fantasy', 'drama']","['EG']",NA,7.3,1113
"ts20981","Survivor","SHOW","A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,"TV-PG",48,"['reality']","['US']",42,7.4,24368
"ts22176","Stargate SG-1","SHOW","The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,"TV-PG",44,"['scifi', 'drama', 'action']","['US', 'CA']",10,8.4,90196
"tm122434","Forrest Gump","MOVIE","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994,"PG-13",142,"['drama', 'romance', 'comedy']","['US']",NA,8.8,1994599
"tm106462","Happy Gilmore","MOVIE","Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",1996,"PG-13",92,"['comedy', 'sport']","['US']",NA,7,217534
"ts20339","One Piece","SHOW","Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,"TV-14",23,"['action', 'comedy', 'animation', 'drama', 'fantasy']","['JP']",21,8.8,112586
"tm57554","Saving Private Ryan","MOVIE","As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",1998,"R",169,"['drama', 'war']","['US']",NA,8.6,1346020
"ts5145","The Challenge","SHOW","Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,"TV-14",40,"['reality', 'comedy', 'drama', 'scifi']","['US']",37,7.8,3274
"tm55553","Blade","MOVIE","The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.",1998,"R",120,"['action', 'scifi', 'horror']","['US']",NA,7.1,267181
"tm56574","You've Got Mail","MOVIE","Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet—both blissfully unaware that he's trying to put her out of business.",1998,"PG",119,"['romance', 'drama', 'comedy']","['US']",NA,6.7,209258
"tm192037","Starship Troopers","MOVIE","Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",1997,"R",129,"['scifi', 'thriller', 'action']","['US']",NA,7.3,288960
"ts20983","Neon Genesis Evangelion","SHOW","At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995,"TV-14",24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']","['JP']",1,8.5,64727
"tm191989","Donnie Brasco","MOVIE","An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.",1997,"R",127,"['thriller', 'drama', 'crime']","['US']",NA,7.7,300073
"ts20960","Power Rangers","SHOW","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,"TV-Y7",22,"['scifi', 'action', 'fantasy', 'family']","['US']",29,6.5,21949
"tm65686","U.S. Marshals","MOVIE","U.S. Marshal Sam Gerard is accompanying a plane load of convicts from Chicago to New York. The plane crashes spectacularly, and Mark Sheridan escapes. But when Diplomatic Security Agent John Royce is assigned to help Gerard recapture Sheridan, it becomes clear that Sheridan is more than just another murderer.",1998,"PG-13",126,"['thriller', 'crime', 'action']","['US']",NA,6.5,103263
"ts11397","Adventures of Sonic the Hedgehog","SHOW","Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.",1993,"TV-Y7",22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']","['US']",4,6.2,3808
"tm187187","Last Action Hero","MOVIE","Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",1993,"PG-13",130,"['comedy', 'action', 'fantasy']","['US']",NA,6.4,149290
"tm121879","A River Runs Through It","MOVIE","A River Runs Through is a cinematographically stunning true story of Norman Maclean. The story follows Norman and his brother Paul through the experiences of life and growing up, and how their love of fly fishing keeps them together despite varying life circumstances in the untamed west of Montana in the 1920's.",1992,"PG",123,"['drama']","['US']",NA,7.2,59086
"tm44402","Girl, Interrupted","MOVIE","Set in the changing world of the late 1960s, Susanna Kaysen's prescribed ""short rest"" from a psychiatrist she had met only once becomes a strange, unknown journey into Alice's Wonderland, where she struggles with the thin line between normal and crazy. Susanna soon realizes how hard it is to get out once she has been committed, and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside.",1999,"R",127,"['drama', 'european']","['US', 'DE']",NA,7.3,180532
"ts22489","Goosebumps","SHOW","Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995,"TV-PG",22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4,7.6,13361
"ts21034","InuYasha","SHOW","Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,"TV-14",25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']","['JP']",9,7.9,15823
